YEAR,MONTH,COMMODITY,"WEIGHT, KG PER BAG"," PRICE, ¢ GH"
2008,JANUARY,MAIZE,100,13.694
2008,FEBRUARY,MAIZE,100,13.066
2008,MARCH,MAIZE,100,14.043
2008,APRIL,MAIZE,100,14.947
2008,MAY,MAIZE,100,14.808
2008,JUNE,MAIZE,100,14.64
2008,JULY,MAIZE,100,14.471
2008,AUGUST,MAIZE,100,14.627
2008,SEPTEMBER,MAIZE,100,14.887
2008,OCTOBER,MAIZE,100,15.009
2008,NOVEMBER,MAIZE,100,14.413
2008,DECEMBER,MAIZE,100,13.746
2009,JANUARY,MAIZE,100,11.844
2009,FEBRUARY,MAIZE,100,13.96
2009,MARCH,MAIZE,100,14.787
2009,APRIL,MAIZE,100,14.668
2009,MAY,MAIZE,100,15.225
2009,JUNE,MAIZE,100,15.354
2009,JULY,MAIZE,100,14.673
2009,AUGUST,MAIZE,100,14.192
2009,SEPTEMBER,MAIZE,100,15.967
2009,OCTOBER,MAIZE,100,14.826
2009,NOVEMBER,MAIZE,100,15.093
2009,DECEMBER,MAIZE,100,14.996
2010,JANUARY,MAIZE,100,15.69
2010,FEBRUARY,MAIZE,100,16.731
2010,MARCH,MAIZE,100,16.413
2010,APRIL,MAIZE,100,16.886
2010,MAY,MAIZE,100,17.179
2010,JUNE,MAIZE,100,16.717
2010,JULY,MAIZE,100,18.938
2010,AUGUST,MAIZE,100,17.925
2010,SEPTEMBER,MAIZE,100,16.924
2010,OCTOBER,MAIZE,100,18.119
2010,NOVEMBER,MAIZE,100,18.126
2010,DECEMBER,MAIZE,100,17.053
2011,JANUARY,MAIZE,100,16.166
2011,FEBRUARY,MAIZE,100,16.074
2011,MARCH,MAIZE,100,17.686
2011,APRIL,MAIZE,100,17.882
2011,MAY,MAIZE,100,18.346
2011,JUNE,MAIZE,100,18.5
2011,JULY,MAIZE,100,18.293
2011,AUGUST,MAIZE,100,18.601
2011,SEPTEMBER,MAIZE,100,17.713
2011,OCTOBER,MAIZE,100,18.737
2011,NOVEMBER,MAIZE,100,21.587
2011,DECEMBER,MAIZE,100,20.701
2012,JANUARY,MAIZE,100,21.248
2012,FEBRUARY,MAIZE,100,23.779
2012,MARCH,MAIZE,100,26.468
2012,APRIL,MAIZE,100,28.212
2012,MAY,MAIZE,100,28.16
2012,JUNE,MAIZE,100,30.669
2012,JULY,MAIZE,100,35.352
2012,AUGUST,MAIZE,100,33.701
2012,SEPTEMBER,MAIZE,100,34.191
2012,OCTOBER,MAIZE,100,33.935
2012,NOVEMBER,MAIZE,100,35.035
2012,DECEMBER,MAIZE,100,35.575
2013,JANUARY,MAIZE,100,33.436
2013,FEBRUARY,MAIZE,100,34.731
2013,MARCH,MAIZE,100,35.125
