REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
WESTERN,SHAMA AHANTA EAST,2008,MAIZE,"1,099.00",1.15,"1,263.85"
WESTERN,WEST AHANTA,2008,MAIZE,"1,433.00",1.19,"1,705.27"
WESTERN,MPORHOR WASSA EAST,2008,MAIZE,"2,034.00",1.32,"2,684.88"
WESTERN,WASSA WEST,2008,MAIZE,"2,204.00",1.2,"2,644.80"
WESTERN,EAST NZEMA,2008,MAIZE,"1,550.00",1.38,"2,139.00"
WESTERN,JOMORO,2008,MAIZE,928,1.3,"1,206.40"
WESTERN,AMENFI EAST,2008,MAIZE,"5,786.00",1.39,"8,042.54"
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,MAIZE,"5,396.00",1.4,"7,554.40"
WESTERN,AOWIN -SUAMAN,2008,MAIZE,"8,986.00",1.5,"13,479.00"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,MAIZE,"5,194.00",1.42,"7,375.48"
WESTERN,SEFWI-WIAWSO,2008,MAIZE,"7,166.00",1.49,"10,677.34"
WESTERN,BIA,2008,MAIZE,"5,528.00",1.53,"8,457.84"
WESTERN,JUABESO,2008,MAIZE,"6,836.00",1.51,"10,322.36"
WESTERN,SHAMA AHANTA EAST,2008,RICE,93,1.22,113.46
WESTERN,WEST AHANTA,2008,RICE,96,1.19,114.24
WESTERN,MPORHOR WASSA EAST,2008,RICE,81,1.2,97.2
WESTERN,WASSA WEST,2008,RICE,"1,406.00",1.18,"1,659.08"
WESTERN,EAST NZEMA,2008,RICE,561,1.35,757.35
WESTERN,JOMORO,2008,RICE,969,1.2,"1,162.80"
WESTERN,AMENFI EAST,2008,RICE,"1,181.00",1.21,"1,429.01"
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,RICE,"1,263.00",1.29,"1,629.27"
WESTERN,AOWIN -SUAMAN,2008,RICE,"1,628.00",1.35,"2,197.80"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,RICE,"1,510.00",1.16,"1,751.60"
WESTERN,SEFWI-WIAWSO,2008,RICE,"2,434.00",1.27,"3,091.18"
WESTERN,BIA,2008,RICE,"1,757.00",1.17,"2,055.69"
WESTERN,JUABESO,2008,RICE,"1,904.00",1.58,"3,008.32"
WESTERN,SHAMA AHANTA EAST,2008,CASSAVA,"2,425.00",7.8,"18,915.00"
WESTERN,WEST AHANTA,2008,CASSAVA,"4,056.00",9.3,"37,720.80"
WESTERN,MPORHOR WASSA EAST,2008,CASSAVA,"5,620.00",10.7,"60,134.00"
WESTERN,WASSA WEST,2008,CASSAVA,"4,086.00",9.7,"39,634.20"
WESTERN,EAST NZEMA,2008,CASSAVA,"6,015.00",9.3,"55,939.50"
WESTERN,JOMORO,2008,CASSAVA,"4,829.00",9.7,"46,841.30"
WESTERN,AMENFI EAST,2008,CASSAVA,"5,400.00",9,"48,600.00"
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,CASSAVA,"3,616.00",9.1,"32,905.60"
WESTERN,AOWIN -SUAMAN,2008,CASSAVA,"10,950.00",9.5,"104,025.00"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,CASSAVA,"7,412.00",9.3,"68,931.60"
WESTERN,SEFWI-WIAWSO,2008,CASSAVA,"9,942.00",10.5,"104,391.00"
WESTERN,BIA,2008,CASSAVA,"3,324.00",10.8,"35,899.20"
WESTERN,JUABESO,2008,CASSAVA,"4,996.00",10.8,"53,956.80"
WESTERN,SHAMA AHANTA EAST,2008,YAM,31,3.6,111.6
WESTERN,WEST AHANTA,2008,YAM,32,3.3,105.6
WESTERN,MPORHOR WASSA EAST,2008,YAM,202,5.6,"1,131.20"
WESTERN,WASSA WEST,2008,YAM,186,4.8,892.8
WESTERN,EAST NZEMA,2008,YAM,32,3.4,108.8
WESTERN,JOMORO,2008,YAM,22,3.2,70.4
WESTERN,AMENFI EAST,2008,YAM,522,7.38,"3,852.36"
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,YAM,577,6.45,"3,721.65"
WESTERN,AOWIN -SUAMAN,2008,YAM,"1,073.00",6.8,"7,296.40"
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,YAM,"2,549.00",7.3,"18,607.70"
WESTERN,SEFWI-WIAWSO,2008,YAM,"3,080.00",8.68,"26,734.40"
WESTERN,BIA,2008,YAM,"1,753.00",10,"17,530.00"
WESTERN,JUABESO,2008,YAM,"1,921.00",10.18,"19,555.78"
CENTRAL,UPPER DENKYIRA,2008,MAIZE,"9,570.00",2.4,"22,968.00"
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,MAIZE,"6,281.00",2.8,"17,586.80"
CENTRAL,ASSIN SOUTH,2008,MAIZE,"3,924.00",1.93,"7,573.32"
CENTRAL,ASSIN NORTH,2008,MAIZE,"9,460.00",1.49,"14,104.86"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,MAIZE,"3,974.52",1.84,"7,303.18"
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,MAIZE,"4,799.30",2,"9,574.60"
CENTRAL,MFANTSIMAN,2008,MAIZE,"13,168.65",2.4,"31,604.76"
